gameid,season,away,home
19791012NYKATL,1979,NYK,ATL
19791012HOUBOS,1979,HOU,BOS
19791012INDDET,1979,IND,DET
19791012MILKCK,1979,MIL,KCK
19791012CLENJN,1979,CLE,NJN
19791012GSWPHO,1979,GSW,PHO
19791012UTAPOR,1979,UTA,POR
19791012LALSDC,1979,LAL,SDC
19791012PHIWSB,1979,PHI,WSB
19791013BOSCLE,1979,BOS,CLE
19791013MILDEN,1979,MIL,DEN
19791013CHIGSW,1979,CHI,GSW
19791013ATLIND,1979,ATL,IND
19791013WSBNYK,1979,WSB,NYK
19791013HOUPHI,1979,HOU,PHI
19791013DETSAS,1979,DET,SAS
19791014CHIPHO,1979,CHI,PHO
19791014DENPOR,1979,DEN,POR
19791014SEASDC,1979,SEA,SDC
19791015MILUTA,1979,MIL,UTA
19791016SASATL,1979,SAS,ATL
19791016DETCLE,1979,DET,CLE
19791016GSWDEN,1979,GSW,DEN
19791016NJNIND,1979,NJN,IND
19791016CHILAL,1979,CHI,LAL
19791016HOUNYK,1979,HOU,NYK
19791016SEAPHO,1979,SEA,PHO
19791016SDCPOR,1979,SDC,POR
19791017CLEBOS,1979,CLE,BOS
19791017INDHOU,1979,IND,HOU
19791017GSWKCK,1979,GSW,KCK
19791017DENMIL,1979,DEN,MIL
19791017PHINJN,1979,PHI,NJN
19791017LALSEA,1979,LAL,SEA
19791017ATLWSB,1979,ATL,WSB
19791018INDATL,1979,IND,ATL
19791018SASCLE,1979,SAS,CLE
19791018NYKDET,1979,NYK,DET
19791018CHISDC,1979,CHI,SDC
19791018PORUTA,1979,POR,UTA
19791019WSBBOS,1979,WSB,BOS
19791019KCKDEN,1979,KCK,DEN
19791019PORLAL,1979,POR,LAL
19791019PHOMIL,1979,PHO,MIL
19791019NYKNJN,1979,NYK,NJN
19791019DETPHI,1979,DET,PHI
19791019SDCSEA,1979,SDC,SEA
19791020PHOCHI,1979,PHO,CHI
19791020UTAGSW,1979,UTA,GSW
19791020ATLHOU,1979,ATL,HOU
19791020BOSIND,1979,BOS,IND
19791020PHINYK,1979,PHI,NYK
19791020CLESAS,1979,CLE,SAS
19791020DETWSB,1979,DET,WSB
19791021PHOKCK,1979,PHO,KCK
19791021SEALAL,1979,SEA,LAL
19791021CHIMIL,1979,CHI,MIL
19791021GSWPOR,1979,GSW,POR
19791022SDCUTA,1979,SDC,UTA
19791023NJNCHI,1979,NJN,CHI
19791023ATLCLE,1979,ATL,CLE
19791023UTALAL,1979,UTA,LAL
19791023INDNYK,1979,IND,NYK
19791023MILPHO,1979,MIL,PHO
19791023KCKPOR,1979,KCK,POR
19791023BOSSAS,1979,BOS,SAS
19791023DENSDC,1979,DEN,SDC
19791024CLEATL,1979,CLE,ATL
19791024PORDEN,1979,POR,DEN
19791024WSBDET,1979,WSB,DET
19791024PHOGSW,1979,PHO,GSW
19791024BOSHOU,1979,BOS,HOU
19791024INDPHI,1979,IND,PHI
19791024KCKSEA,1979,KCK,SEA
19791025MILSDC,1979,MIL,SDC
19791025CHIUTA,1979,CHI,UTA
19791026SASDET,1979,SAS,DET
19791026WSBIND,1979,WSB,IND
19791026KCKLAL,1979,KCK,LAL
19791026ATLNJN,1979,ATL,NJN
19791026NYKPHI,1979,NYK,PHI
19791026CHIPOR,1979,CHI,POR
19791026PHOSEA,1979,PHO,SEA
19791027BOSATL,1979,BOS,ATL
19791027PHICLE,1979,PHI,CLE
19791027UTADEN,1979,UTA,DEN
19791027KCKGSW,1979,KCK,GSW
19791027DETMIL,1979,DET,MIL
19791027NJNNYK,1979,NJN,NYK
19791027INDSAS,1979,IND,SAS
19791027SEASDC,1979,SEA,SDC
19791028GSWLAL,1979,GSW,LAL
19791028HOUNJN,1979,HOU,NJN
19791028PHOPOR,1979,PHO,POR
19791028KCKSDC,1979,KCK,SDC
19791028CHISEA,1979,CHI,SEA
19791030LALCHI,1979,LAL,CHI
19791030HOUCLE,1979,HOU,CLE
19791030NYKDEN,1979,NYK,DEN
19791030SASPHO,1979,SAS,PHO
19791031PHIATL,1979,PHI,ATL
19791031PORGSW,1979,POR,GSW
19791031HOUIND,1979,HOU,IND
19791031UTAKCK,1979,UTA,KCK
19791031LALMIL,1979,LAL,MIL
19791031BOSNJN,1979,BOS,NJN
19791031SASSDC,1979,SAS,SDC
19791031DENSEA,1979,DEN,SEA
